word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency,stem
.,MAD,|,-,40355,52161.358328,
",",MID,|,-,40108,51842.095399,
och,KN,|och..kn.1|,-,23775,30730.672637,och
"""",PAD,|,-,16106,20818.011082,
han,PN.UTR.SIN.DEF.SUB,|han..pn.1|,-,10198,13181.552031,han
en,DT.UTR.SIN.IND,|en..al.1|,-,9730,12576.632797,en
på,PP,|på..pp.1|,-,9567,12365.945115,på
att,SN,|att..sn.1|,-,9481,12254.784743,att
i,PP,|i..pp.1|,-,9401,12151.379746,i
det,PN.NEU.SIN.DEF.SUB+OBJ,|den..pn.1|,-,8937,11551.630761,den
inte,AB,|inte..ab.1|,-,8621,11143.181022,inte
hade,VB.PRT.AKT,|ha..vb.1|,-,7863,10163.418673,ha
att,IE,|att..ie.1|,-,7556,9766.601995,att
var,VB.PRT.AKT,|vara..vb.1|,-,7450,9629.590374,vara
jag,PN.UTR.SIN.DEF.SUB,|jag..pn.1|,-,7213,9323.25307,jag
som,HP.-.-.-,|,-,6758,8735.137147,
med,PP,|med..pp.1|,-,6097,7880.753357,med
är,VB.PRS.AKT,|vara..vb.1|,-,5837,7544.687116,vara
till,PP,|till..pp.1|,-,4891,6321.923023,till
så,AB,|så..ab.1|,-,4858,6279.268461,så
-,MID,|,-,4724,6106.065091,
av,PP,|av..pp.1|,-,4644,6002.660094,av
för,PP,|för..pp.1|,-,4407,5696.322789,för
hon,PN.UTR.SIN.DEF.SUB,|hon..pn.1|,-,4060,5247.803613,hon
de,PN.UTR+NEU.PLU.DEF.SUB,|de..pn.1|,-,3945,5099.15893,de
har,VB.PRS.AKT,|ha..vb.1|,-,3581,4628.666192,ha
Det,PN.NEU.SIN.DEF.SUB+OBJ,|den..pn.1|,-,3526,4557.575256,den
du,PN.UTR.SIN.DEF.SUB,|du..pn.1|,-,3478,4495.532258,du
ett,DT.NEU.SIN.IND,|en..al.1|,-,3402,4397.29751,en
men,KN,|men..kn.1|,-,3184,4115.518893,men
Jag,PN.UTR.SIN.DEF.SUB,|jag..pn.1|,-,3180,4110.348643,jag
Han,PN.UTR.SIN.DEF.SUB,|han..pn.1|,-,3042,3931.975023,han
den,DT.UTR.SIN.DEF,|en..al.1|den..pn.1|,-,3032,3919.049398,en
?,MAD,|,-,3024,3908.708898,
skulle,VB.PRT.AKT,|skola..vb.2|,+,2992,3867.346899,skola
!,MAD,|,-,2977,3847.958462,
honom,PN.UTR.SIN.DEF.OBJ,|han..pn.1|,-,2855,3690.265841,han
om,PP,|om..pp.1|,-,2812,3634.685655,om
som,KN,|,-,2472,3195.214417,
Men,KN,|men..kn.1|,-,2294,2965.138298,men
sade,VB.PRT.AKT,|säga..vb.1|,-,2158,2789.349802,säga
den,PN.UTR.SIN.DEF.SUB+OBJ,|den..pn.1|,-,2097,2710.503492,den
när,HA,|när..ab.1|,-,2018,2608.391057,när
sa,VB.PRT.AKT,|säga..vb.1|,-,1991,2573.49187,säga
kunde,VB.PRT.AKT,|kunna..vb.1|,-,1938,2504.98606,kunna
de,DT.UTR+NEU.PLU.DEF,|en..al.1|,-,1858,2401.581062,en
vi,PN.UTR.PLU.DEF.SUB,|vi..pn.1|,-,1856,2398.995937,vi
kan,VB.PRS.AKT,|kunna..vb.1|,-,1854,2396.410813,kunna
dem,PN.UTR+NEU.PLU.DEF.OBJ,|de..pn.1|,-,1779,2299.468628,de
om,SN,|om..sn.1|,-,1690,2184.430568,om
Och,KN,|och..kn.1|,-,1639,2118.509882,och
sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig..pn.1|,-,1632,2109.461945,sig
från,PP,|från..pp.1|,-,1574,2034.493322,från
Hon,PN.UTR.SIN.DEF.SUB,|hon..pn.1|,-,1509,1950.476762,hon
nu,AB,|nu..ab.1|,-,1473,1903.944513,nu
Mikael,PM.NOM,|Mikael..pm.1|,-,1432,1850.949452,Mikael
bara,AB,|bara..ab.1|,-,1374,1775.980829,bara
över,PP,|över..pp.1|,-,1345,1738.496517,över
ska,VB.PRS.AKT,|skola..vb.2|,-,1339,1730.741142,skola
eller,KN,|eller..kn.1|,-,1326,1713.93783,eller
det,DT.NEU.SIN.DEF,|en..al.1|den..pn.1|,-,1326,1713.93783,en
ha,VB.INF.AKT,|ha..vb.1|,-,1280,1654.479957,ha
henne,PN.UTR.SIN.DEF.OBJ,|hon..pn.1|,-,1267,1637.676645,hon
mig,PN.UTR.SIN.DEF.OBJ,|jag..pn.1|,-,1266,1636.384082,jag
sin,PS.UTR.SIN.DEF,|sig..pn.1|,-,1234,1595.022083,sig
vad,HP.NEU.SIN.IND,|vad..pn.1|,-,1172,1514.883211,vad
mycket,AB.POS,|mycket..ab.1|,-,1170,1512.298086,mycket
vara,VB.INF.AKT,|vara..vb.2|vara..vb.1|,-,1158,1496.787336,vara
hans,PS.UTR+NEU.SIN+PLU.DEF,|han..pn.1|,-,1120,1447.669962,han
hur,HA,|hur..ab.1|,-,1091,1410.185651,hur
blev,VB.PRT.AKT,|bli..vb.1|,-,1088,1406.307963,bli
:,MID,|,-,1088,1406.307963,
De,PN.UTR+NEU.PLU.DEF.SUB,|de..pn.1|,-,1069,1381.749276,de
också,AB,|också..ab.1|,+,1059,1368.823652,också
efter,PP,|efter..pp.1|,-,1036,1339.094715,efter
vid,PP,|vid..pp.1|,-,992,1282.221967,vid
mot,PP,|mot..pp.1|,-,967,1249.907905,mot
man,PN.UTR.SIN.IND.SUB,|man..pn.1|,-,965,1247.32278,man
få,VB.INF.AKT,|få..vb.1|,-,926,1196.912844,få
då,AB,|då..ab.2|då..ab.1|,-,900,1163.30622,då
aldrig,AB,|aldrig..ab.1|,-,898,1160.721095,aldrig
måste,VB.PRS.AKT,|måste..vb.1|,-,878,1134.869845,måste
själv,JJ.POS.UTR.SIN.IND.NOM,|själv..pn.1|,-,873,1128.407033,själv
där,AB,|där..ab.1|,-,873,1128.407033,där
kom,VB.PRT.AKT,|komma..vb.1|,-,870,1124.529346,komma
',PAD,|,-,865,1118.066533,
alla,DT.UTR+NEU.PLU.IND+DEF,|all..pn.1|,-,864,1116.773971,all
här,AB,|här..ab.1|den_här..pnm.1|,-,859,1110.311159,här
där,HA,|där..ab.1|,-,829,1071.534285,där
än,KN,|,-,817,1056.023535,
såg,VB.PRT.AKT,|se..vb.1|,-,811,1048.26816,se
vill,VB.PRS.AKT,|vilja..vb.1|,-,808,1044.390473,vilja
När,HA,|när..ab.1|,-,807,1043.09791,när
varit,VB.SUP.AKT,|vara..vb.1|,-,802,1036.635098,vara
något,PN.NEU.SIN.IND.SUB+OBJ,|någon..pn.1|,-,794,1026.294598,någon
dig,PN.UTR.SIN.DEF.OBJ,|du..pn.1|,-,775,1001.735911,du
gick,VB.PRT.AKT,|gå..vb.1|,-,769,993.980537,gå
under,PP,|under..pp.1|,-,764,987.517724,under
Du,PN.UTR.SIN.DEF.SUB,|du..pn.1|Du..pn.1|,-,763,986.225162,du
får,VB.PRS.AKT,|få..vb.1|,-,749,968.129287,få
pojken,NN.UTR.SIN.DEF.NOM,|pojke..nn.1|,-,747,965.544162,pojke
kommer,VB.PRS.AKT,|komma..vb.1|,-,744,961.666475,komma
se,VB.INF.AKT,|se..vb.1|,-,742,959.08135,se
åt,PP,|åt..pp.1|,-,737,952.618538,åt
här,AB,|här..ab.1|,-,736,951.325975,här
Vanger,PM.NOM,|,-,730,943.5706,
fick,VB.PRT.AKT,|få..vb.1|,-,729,942.278038,få
började,VB.PRT.AKT,|börja..vb.2|börja..vb.1|,-,718,928.059851,börja
någon,DT.UTR.SIN.IND,|någon..pn.1|,-,711,919.011914,någon
sina,PS.UTR+NEU.PLU.DEF,|sig..pn.1|,-,706,912.549101,sig
min,PS.UTR.SIN.DEF,|jag..pn.1|,-,700,904.793726,jag
bli,VB.INF.AKT,|bli..vb.1|,-,690,891.868102,bli
mer,AB.KOM,|mycket..ab.1|mer..ab.1|,-,677,875.06479,mycket
ville,VB.PRT.AKT,|vilja..vb.1|,+,662,855.676353,vilja
hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel..av.1|,-,645,833.702791,hel
stod,VB.PRT.AKT,|stå..vb.1|,-,641,828.532541,stå
hennes,PS.UTR+NEU.SIN+PLU.DEF,|hon..pn.1|,-,639,825.947416,hon
två,RG.NOM,|två..nl.1|,-,638,824.654854,två
väl,AB,|väl_2..ab.1|väl..ab.1|,-,630,814.314354,väl_2
göra,VB.INF.AKT,|göra..vb.1|,-,628,811.729229,göra
fram,PL,|fram..ab.1|,-,615,794.925917,fram
vet,VB.PRS.AKT,|veta..vb.1|,-,614,793.633354,veta
nog,AB,|nog..ab.1|,-,596,770.36723,nog
något,DT.NEU.SIN.IND,|någon..pn.1|,-,593,766.489543,någon
fanns,VB.PRT.SFO,|finnas..vb.1|finna..vb.1|,-,593,766.489543,finnas
tänkte,VB.PRT.AKT,|tänka..vb.1|,-,585,756.149043,tänka
Vi,PN.UTR.PLU.DEF.SUB,|vi..pn.1|,-,584,754.85648,vi
låg,VB.PRT.AKT,|ligga..vb.1|,-,571,738.053168,ligga
som,HA,|som..ab.1|,-,570,736.760606,som
ju,AB,|ju..ab.1|,-,569,735.468043,ju
Bilbo,PM.NOM,|,-,566,731.590356,
då,HA,|då..ab.2|då..ab.1|,-,557,719.957294,då
Om,SN,|om..sn.1|,-,552,713.494481,om
stor,JJ.POS.UTR.SIN.IND.NOM,|stor..av.1|,-,547,707.031669,stor
några,DT.UTR+NEU.PLU.IND,|någon..pn.1|,-,546,705.739107,någon
genom,PP,|genom..pp.1|,+,546,705.739107,genom
sitt,PS.NEU.SIN.DEF,|sig..pn.1|,-,537,694.106044,sig
detta,PN.NEU.SIN.DEF.SUB+OBJ,|denna..pn.1|,-,536,692.813482,denna
sedan,AB,|sedan..ab.1|,+,535,691.520919,sedan
Henrik,PM.NOM,|Henrik..pm.1|,-,534,690.228357,Henrik
Lillebror,NN.UTR.SIN.IND.NOM,|lillebror..nn.1|,-,533,688.935795,lillebror
ut,PL,|ut..ab.1|,-,526,679.887857,ut
upp,PL,|upp..ab.1|,-,521,673.425045,upp
gå,VB.INF.AKT,|gå..vb.1|,-,519,670.83992,gå
satt,VB.PRT.AKT,|sitta..vb.1|,-,516,666.962233,sitta
liten,JJ.POS.UTR.SIN.IND.NOM,|liten..av.1|,-,507,655.32917,liten
frågade,VB.PRT.AKT,|fråga..vb.2|fråga..vb.1|,-,506,654.036608,fråga
Nu,AB,|nu..ab.1|,-,504,651.451483,nu
utan,PP,|utan..pp.1|,+,499,644.988671,utan
oss,PN.UTR.PLU.DEF.OBJ,|vi..pn.1|,-,495,639.818421,vi
Pippi,NN.UTR.SIN.IND.NOM,|pippi..nn.2|pippi..nn.1|,+,494,638.525858,pippi
voro,VB.PRT.AKT,|,-,489,632.063046,
innan,SN,|innan..sn.1|,-,485,626.892796,innan
blivit,VB.SUP.AKT,|bli..vb.1|,-,485,626.892796,bli
gjorde,VB.PRT.AKT,|göra..vb.1|,-,485,626.892796,göra
stund,NN.UTR.SIN.IND.NOM,|stund..nn.1|,-,479,619.137421,stund
där,AB,|där..ab.1|den_där..pnm.1|,-,475,613.967171,där
igen,AB,|igen..ab.2|igen..ab.1|,-,474,612.674609,igen
alldeles,AB,|alldeles..ab.1|,-,472,610.089484,alldeles
blir,VB.PRS.AKT,|bli..vb.1|,-,471,608.796922,bli
andra,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|annan..pn.1|,-,471,608.796922,annan
Så,AB,|så..ab.1|,-,471,608.796922,så
många,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|,-,467,603.626672,
ännu,AB,|ännu..ab.1|,-,463,598.456422,ännu
tyckte,VB.PRT.AKT,|tycka..vb.1|,-,463,598.456422,tycka
ut,PL,|ut..ab.1|se_ut..vbm.1|,-,459,593.286172,ut
utan,KN,|utan..kn.1|,-,453,585.530797,utan
Vad,HP.NEU.SIN.IND,|vad..pn.1|,-,452,584.238235,vad
Lisbeth,PM.NOM,|,-,451,582.945672,
tror,VB.PRS.AKT,|tro..vb.1|,-,450,581.65311,tro
I,PP,|i..pp.1|,-,449,580.360547,i
säga,VB.INF.AKT,|säga..vb.1|,-,441,570.020048,säga
fått,VB.SUP.AKT,|få..vb.1|,-,440,568.727485,få
Karlsson,PM.NOM,|Karlsson..pm.1|,-,439,567.434923,Karlsson
Då,AB,|då..ab.2|då..ab.1|,-,438,566.14236,då
redan,AB,|redan..ab.1|,+,437,564.849798,redan
i,PP,|i..pp.1|in_i..ppm.1|,-,434,560.97211,i
svarade,VB.PRT.AKT,|svara..vb.1|,-,433,559.679548,svara
finns,VB.PRS.SFO,|finnas..vb.1|finna..vb.1|,-,430,555.801861,finnas
En,DT.UTR.SIN.IND,|en..al.1|,-,429,554.509298,en
någon,PN.UTR.SIN.IND.SUB+OBJ,|någon..pn.1|,-,425,549.339048,någon
ur,PP,|ur..pp.1|,-,424,548.046486,ur
),PAD,|,-,423,546.753923,
(,PAD,|,-,422,545.461361,
för,KN,|för..kn.1|,-,418,540.291111,för
allt,PN.NEU.SIN.IND.SUB+OBJ,|all..pn.1|,-,417,538.998548,all
Den,DT.UTR.SIN.DEF,|en..al.1|den..pn.1|,-,415,536.413424,en
mor,NN.UTR.SIN.IND.NOM,|mor..nn.2|mor..nn.1|,-,414,535.120861,mor
ni,PN.UTR.SIN.DEF.SUB,|ni..pn.1|,-,409,528.658049,ni
...,MID,|,-,409,528.658049,
hörde,VB.PRT.AKT,|höra..vb.1|,-,408,527.365486,höra
far,NN.UTR.SIN.IND.NOM,|far..nn.1|,-,403,520.902674,far
Ja,IN,|ja..in.1|,-,403,520.902674,ja
år,NN.NEU.PLU.IND.NOM,|år..nn.1|,-,401,518.317549,år
kunna,VB.INF.AKT,|kunna..vb.1|,-,400,517.024987,kunna
Alice,PM.NOM,|Alice..pm.1|,-,400,517.024987,Alice
stora,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|stor..av.1|,-,397,513.147299,stor
ner,PL,|ner..ab.1|,-,394,509.269612,ner
helt,AB.POS,|helt..ab.1|hel..av.1|,-,392,506.684487,helt
deras,PS.UTR+NEU.SIN+PLU.DEF,|de..pn.1|,-,390,504.099362,de
visste,VB.PRT.AKT,|veta..vb.1|,-,389,502.806799,veta
snart,AB.POS,|snart..ab.1|snar..av.1|,-,382,493.758862,snart
kanske,AB,|kanske..ab.1|,-,380,491.173737,kanske
plötsligt,AB.POS,|plötslig..av.1|,-,378,488.588612,plötslig
ingen,DT.UTR.SIN.IND,|ingen..pn.1|,-,377,487.29605,ingen
längre,AB.KOM,|lång..av.1|längre..ab.1|länge..ab.1|,-,369,476.95555,lång
Harriet,PM.NOM,|Harriet..pm.1|,-,366,473.077863,Harriet
alltid,AB,|alltid..ab.1|,-,366,473.077863,alltid
skogen,NN.UTR.SIN.DEF.NOM,|skog..nn.1|,+,366,473.077863,skog
...,MAD,|,-,366,473.077863,
:,MAD,|,-,364,470.492738,
just,AB,|just..av.1|just..ab.1|,-,359,464.029925,just
nästan,AB,|nästan..ab.1|,+,358,462.737363,nästan
ändå,AB,|ändå..ab.1|,-,356,460.152238,ändå
går,VB.PRS.AKT,|gå..vb.1|,-,352,454.981988,gå
små,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|liten..av.1|,-,348,449.811738,liten
par,NN.NEU.SIN.IND.NOM,|par..nn.1|ett_par..pnm.1|,-,347,448.519176,par
tittade,VB.PRT.AKT,|titta..vb.1|,-,347,448.519176,titta
medan,SN,|medan..sn.1|,-,347,448.519176,medan
in,PL,|in..ab.1|,-,344,444.641488,in
Den,PN.UTR.SIN.DEF.SUB+OBJ,|den..pn.1|,-,343,443.348926,den
komma,VB.INF.AKT,|komma..vb.1|,-,341,440.763801,komma
hos,PP,|hos..pp.1|,-,341,440.763801,hos
Puh,IN,|puh..in.1|,-,339,438.178676,puh
alla,PN.UTR+NEU.PLU.IND.SUB+OBJ,|all..pn.1|,-,336,434.300989,all
tre,RG.NOM,|tre..nl.1|,-,336,434.300989,tre
mellan,PP,|mellan..pp.1|,-,334,431.715864,mellan
enda,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|enda..av.1|,-,331,427.838176,enda
Peter,PM.NOM,|Peter..pm.1|,-,330,426.545614,Peter
för,PP,|för..pp.1|vad_för..pnm.1|,-,327,422.667926,för
dag,NN.UTR.SIN.IND.NOM,|dag..nn.1|,-,326,421.375364,dag
ropade,VB.PRT.AKT,|ropa..vb.1|,-,325,420.082802,ropa
därför,AB,|därför..ab.1|,+,324,418.790239,därför
lika,AB,|lika..ab.1|,-,321,414.912552,lika
annat,PN.NEU.SIN.IND.SUB+OBJ,|annan..pn.1|,-,318,411.034864,annan
ett,DT.NEU.SIN.IND,|en..al.1|ett_par..pnm.1|,-,318,411.034864,en
Sedan,AB,|sedan..ab.1|,+,317,409.742302,sedan
stora,JJ.POS.UTR+NEU.SIN.DEF.NOM,|stor..av.1|,-,316,408.449739,stor
tid,NN.UTR.SIN.IND.NOM,|tid..nn.1|,-,314,405.864614,tid
första,RO.NOM,|en..nl.1|,-,311,401.986927,en
;,MID,|,-,307,396.816677,
Martin,PM.NOM,|Martin..pm.1|,-,306,395.524115,Martin
Nej,IN,|nej..in.1|,-,306,395.524115,nej
sett,VB.SUP.AKT,|se..vb.1|,-,300,387.76874,se
tog,VB.PRT.AKT,|ta..vb.1|,-,298,385.183615,ta
Salander,PM.NOM,|,-,297,383.891052,
ingenting,PN.NEU.SIN.IND.SUB+OBJ,|ingenting..pn.1|,-,296,382.59849,ingenting
långt,AB.POS,|långt..ab.1|lång..av.1|,-,296,382.59849,långt
den,DT.UTR.SIN.DEF,|en..al.1|den..pn.1|den_här..pnm.1|,-,295,381.305928,en
människor,NN.UTR.PLU.IND.NOM,|människa..nn.1|,-,295,381.305928,människa
På,PP,|på..pp.1|,-,292,377.42824,på
höra,VB.INF.AKT,|höra..vb.1|,-,289,373.550553,höra
såg,VB.PRT.AKT,|se..vb.1|se_ut..vbm.1|,-,289,373.550553,se
kommit,VB.SUP.AKT,|komma..vb.1|,-,288,372.25799,komma
gör,VB.PRS.AKT,|göra..vb.1|,-,288,372.25799,göra
lilla,JJ.POS.UTR+NEU.SIN.DEF.NOM,|liten..av.1|,-,288,372.25799,liten
Akka,PM.NOM,|,-,287,370.965428,
först,AB,|först..ab.1|,-,286,369.672865,först
Pojken,NN.UTR.SIN.DEF.NOM,|pojke..nn.1|,-,284,367.08774,pojke
riktigt,AB,|riktig..av.1|,-,284,367.08774,riktig
lång,JJ.POS.UTR.SIN.IND.NOM,|lång..av.1|,-,283,365.795178,lång
tillbaka,PL,|tillbaka..ab.1|,-,282,364.502616,tillbaka
tycker,VB.PRS.AKT,|tycka..vb.1|,-,281,363.210053,tycka
dörren,NN.UTR.SIN.DEF.NOM,|dörr..nn.1|,+,281,363.210053,dörr
huvudet,NN.NEU.SIN.DEF.NOM,|huvud..nn.1|,-,279,360.624928,huvud
och,KN,|och..kn.1|både_och..knm.1|,-,278,359.332366,och
haft,VB.SUP.AKT,|ha..vb.1|,-,278,359.332366,ha
mitt,PS.NEU.SIN.DEF,|jag..pn.1|,-,278,359.332366,jag
Där,AB,|där..ab.1|,-,275,355.454678,där
ni,PN.UTR.PLU.DEF.SUB,|ni..pn.1|,-,273,352.869553,ni
din,PS.UTR.SIN.DEF,|du..pn.1|,-,272,351.576991,du
Inte,AB,|inte..ab.1|,-,272,351.576991,inte
lite,AB.POS,|lite..ab.1|,-,267,345.114179,lite
ingen,PN.UTR.SIN.IND.SUB+OBJ,|ingen..pn.1|,-,264,341.236491,ingen
var,VB.PRT.AKT,|vara..vb.1|var_än..abm.1|,-,261,337.358804,vara
heller,AB,|heller..ab.1|,-,260,336.066241,heller
trodde,VB.PRT.AKT,|tro..vb.1|,-,256,330.895991,tro
genast,AB,|genast..ab.1|,-,256,330.895991,genast
Hur,HA,|hur..ab.1|,-,256,330.895991,hur
veta,VB.INF.AKT,|veta..vb.1|,+,256,330.895991,veta
fortfarande,AB,|fortfarande..ab.1|,-,253,327.018304,fortfarande
både,KN,|både_och..knm.1|,-,253,327.018304,både_och
varandra,PN.UTR+NEU.PLU.DEF.OBJ,|varandra..pn.1|,-,252,325.725742,varandra
eftersom,SN,|eftersom..sn.1|,-,250,323.140617,eftersom
höll,VB.PRT.AKT,|hålla..vb.1|,-,247,319.262929,hålla
gjort,VB.SUP.AKT,|göra..vb.1|,-,246,317.970367,göra
gamla,JJ.POS.UTR+NEU.SIN.DEF.NOM,|gammal..av.1|,-,246,317.970367,gammal
omkring,AB,|omkring..ab.1|,+,246,317.970367,omkring
kvar,PL,|kvar..ab.1|,-,245,316.677804,kvar
väl,AB.POS,|väl_2..ab.1|väl..ab.1|,-,245,316.677804,väl_2
Erika,PM.NOM,|Erika..pm.1|,-,244,315.385242,Erika
sådan,JJ.POS.UTR.SIN.IND.NOM,|sån..pn.1|,+,244,315.385242,sån
försökte,VB.PRT.AKT,|försöka..vb.1|,+,244,315.385242,försöka
vildgässen,NN.UTR.PLU.DEF.NOM,|vildgås..nn.1|,+,244,315.385242,vildgås
bra,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|bra..av.2|,-,239,308.922429,bra
mina,PS.UTR+NEU.PLU.DEF,|jag..pn.1|,-,239,308.922429,jag
ena,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|ena..pn.1|,-,238,307.629867,ena
alls,AB,|alls..ab.1|,-,238,307.629867,alls
framför,PP,|framför..pp.1|,+,237,306.337305,framför
tänker,VB.PRS.AKT,|tänka..vb.1|,-,232,299.874492,tänka
liv,NN.NEU.SIN.IND.NOM,|liv..nn.1|,-,231,298.58193,liv
fortsatte,VB.PRT.AKT,|fortsätta..vb.1|,+,231,298.58193,fortsätta
allt,AB,|allt..ab.1|,-,230,297.289367,allt
berätta,VB.INF.AKT,|berätta..vb.1|,+,229,295.996805,berätta
Margot,PM.NOM,|,-,227,293.41168,
än,KN,|var_än..abm.1|,-,227,293.41168,var_än
flera,JJ.POS.UTR+NEU.PLU.IND.NOM,|,-,224,289.533992,
andra,JJ.POS.UTR+NEU.SIN.DEF.NOM,|annan..pn.1|,-,224,289.533992,annan
länge,AB.POS,|länge..ab.1|,-,223,288.24143,länge
dagen,NN.UTR.SIN.DEF.NOM,|dag..nn.1|,-,223,288.24143,dag
skrek,VB.PRT.AKT,|skrika..vb.1|,-,223,288.24143,skrika
marken,NN.UTR.SIN.DEF.NOM,|mark..nn.2|mark..nn.1|,-,222,286.948868,mark
vad,HP.NEU.SIN.IND,|vad..pn.1|vad_för..pnm.1|,-,220,284.363743,vad
rädd,JJ.POS.UTR.SIN.IND.NOM,|rädd..av.1|,-,219,283.07118,rädd
bakom,PP,|bakom..pp.1|,+,219,283.07118,bakom
vattnet,NN.NEU.SIN.DEF.NOM,|vatten..nn.1|,-,217,280.486055,vatten
tycktes,VB.PRT.SFO,|tyckas..vb.1|tycka..vb.1|,-,217,280.486055,tyckas
borde,VB.PRT.AKT,|böra..vb.1|,-,217,280.486055,böra
en,PN.UTR.SIN.IND.SUB+OBJ,|man..pn.1|,-,216,279.193493,man
ögon,NN.NEU.PLU.IND.NOM,|öga..nn.1|,+,215,277.90093,öga
DEN,DT.UTR.SIN.DEF,|en..al.1|den..pn.1|,-,215,277.90093,en
sista,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|sista..av.1|,-,213,275.315805,sista
mamma,NN.UTR.SIN.IND.NOM,|mamma..nn.1|,-,213,275.315805,mamma
Här,AB,|här..ab.1|,-,209,270.145555,här
För,PP,|för..pp.1|,-,209,270.145555,för
[,PAD,|,-,208,268.852993,
gammal,JJ.POS.UTR.SIN.IND.NOM,|gammal..av.1|,-,208,268.852993,gammal
tills,SN,|tills..sn.1|,-,208,268.852993,tills
verkligen,AB,|verkligen..ab.1|,-,208,268.852993,verkligen
undrade,VB.PRT.AKT,|undra..vb.1|,-,208,268.852993,undra
samma,DT.UTR+NEU.SIN+PLU.IND,|samma..pn.1|,-,207,267.560431,samma
herr,NN.UTR.SIN.IND.NOM,|herr..nn.1|,-,207,267.560431,herr
hört,VB.SUP.AKT,|höra..vb.1|,-,207,267.560431,höra
precis,AB,|precis..ab.1|,-,207,267.560431,precis
gått,VB.SUP.AKT,|gå..vb.1|,-,207,267.560431,gå
glad,JJ.POS.UTR.SIN.IND.NOM,|glad..av.1|,-,206,266.267868,glad
Efter,PP,|efter..pp.1|,-,206,266.267868,efter
bort,PL,|bort..ab.1|,-,205,264.975306,bort
gång,NN.UTR.SIN.IND.NOM,|gång..nn.3|gång..nn.2|gång..nn.1|en_gång..abm.1|,-,205,264.975306,gång
],PAD,|,-,203,262.390181,
ens,AB,|ens..ab.1|,-,203,262.390181,ens
annat,JJ.POS.NEU.SIN.IND.NOM,|annan..pn.1|,-,203,262.390181,annan
sådant,JJ.POS.NEU.SIN.IND.NOM,|sån..pn.1|,-,203,262.390181,sån
gärna,AB.POS,|gärna..ab.1|,-,202,261.097618,gärna
förrän,SN,|förrän..sn.1|,-,202,261.097618,förrän
sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig..pn.1|känna_sig..vbm.1|,-,202,261.097618,sig
god,JJ.POS.UTR.SIN.IND.NOM,|god..av.1|,-,202,261.097618,god
gånger,NN.UTR.PLU.IND.NOM,|gång..nn.2|,-,201,259.805056,gång
kvällen,NN.UTR.SIN.DEF.NOM,|kväll..nn.1|,+,200,258.512493,kväll
sist,AB.SUV,|sist..ab.1|till_sist..abm.1|,-,199,257.219931,sist
kände,VB.PRT.AKT,|känna..vb.1|,-,199,257.219931,känna
Nasse,NN.UTR.SIN.IND.NOM,|nasse..nn.1|,-,199,257.219931,nasse
ensam,JJ.POS.UTR.SIN.IND.NOM,|ensam..av.1|,-,199,257.219931,ensam
så,KN,|så..kn.1|,-,199,257.219931,så
över,PL,|över..ab.1|,-,198,255.927368,över
in,PL,|in..ab.1|in_i..ppm.1|,-,197,254.634806,in
tro,VB.INF.AKT,|tro..vb.1|,-,196,253.342243,tro
vägen,NN.UTR.SIN.DEF.NOM,|väg..nn.1|,-,195,252.049681,väg
bästa,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|god..av.1|bäst..av.1|bra..av.1|,-,195,252.049681,god
ta,VB.INF.AKT,|ta..vb.1|,-,194,250.757118,ta
ögonen,NN.NEU.PLU.DEF.NOM,|öga..nn.1|,+,194,250.757118,öga
dvärgarna,NN.UTR.PLU.DEF.NOM,|dvärg..nn.1|,-,194,250.757118,dvärg
ute,AB,|ute..ab.1|,-,194,250.757118,ute
människa,NN.UTR.SIN.IND.NOM,|människa..nn.1|,-,194,250.757118,människa
sätt,NN.NEU.SIN.IND.NOM,|sätt..nn.1|,-,193,249.464556,sätt
förstår,VB.PRS.AKT,|förstå..vb.1|,+,193,249.464556,förstå
alla,DT.UTR+NEU.PLU.IND+DEF,|all..pn.1|i_alla_fall..abm.1|,-,193,249.464556,all
fall,NN.NEU.PLU.IND.NOM,|fall..nn.1|i_alla_fall..abm.1|,-,193,249.464556,fall
säger,VB.PRS.AKT,|säga..vb.1|,-,193,249.464556,säga
stort,JJ.POS.NEU.SIN.IND.NOM,|stor..av.1|,-,193,249.464556,stor
Frode,PM.NOM,|Frode..pm.1|,-,192,248.171994,Frode
dag,NN.UTR.SIN.IND.NOM,|dag..nn.1|i_dag..abm.1|,-,191,246.879431,dag
pappa,NN.UTR.SIN.IND.NOM,|pappa..nn.1|,-,191,246.879431,pappa
Det,DT.NEU.SIN.DEF,|en..al.1|den..pn.1|,-,190,245.586869,en
bland,PP,|bland..pp.1|,-,190,245.586869,bland
